"NSE Symbol","Regd Office City","Market Capitalisation","BSE-Quarterly Average Volume","NSE-Quarterly Average Volume","BSE-Yearly Average Volume","NSE-Yearly Average Volume","BSE Code"
"20MICRONS","Vadodara","737.49","10.58","100.34","18.16","155.73","533022"
"21STCENMGM","Chennai","49.58","1.66","5.99","2.02","6.51","526921"
"360ONE","Mumbai","43295.38","31.01","759.53","66.63","1030.35","542772"
"3IINFOLTD","Navi Mumbai","354.02","88.55","589.45","113.89","750.45","532628"
"3MINDIA","Bengaluru","40213.88","0.32","9.26","0.28","6.60","523395"
"3PLAND","Pune","75.60","2.26","12.55","5.46","35.50","516092"
"3RDROCK","Mumbai","145.50","","","","5.20",""
"5PAISA","Thane","957.27","23.84","178.50","10.47","71.22","540776"
"63MOONS","Chennai","3555.65","9.28","117.61","32.18","285.94","526881"
"A2ZINFRA","Gurugram","307.51","44.06","193.26","68.96","354.80","533292"
"AAATECH","Mumbai","117.33","12.82","171.57","6.53","67.05","543671"
"AADHARHFC","Bengaluru","21607.00","22.85","462.71","32.00","673.96","544176"
"AAKAAR","Mumbai","118.84","","32.05","","69.76",""
"AAKASH","Ahmedabad","90.62","","106.61","","289.73",""
"AARADHYA","Dewas","206.56","","81.54","","81.54",""
"AAREYDRUGS","Thane","282.13","5.43","51.17","8.54","44.52","524412"
"AARON","Surat","419.47","","39.38","","29.83",""
"AARTECH","Bhopal","169.72","8.73","59.00","34.48","147.33","542580"
"AARTIDRUGS","Thane","4464.47","14.95","163.50","24.50","305.91","524348"
"AARTIIND","Vapi","14164.73","47.27","577.95","92.42","1575.82","524208"
"AARTIPHARM","Vapi","7641.57","16.88","299.46","29.06","488.70","543748"
"AARTISURF","Dhar","383.25","0.84","4.65","1.33","9.16","543210"
"AARVI","Mumbai","174.56","","60.35","","23.06",""
"AATMAJ","Vadodara","46.44","","7.75","","14.36",""
"AAVAS","Jaipur","12696.38","36.00","185.38","17.61","220.95","541988"
"ABAN","Chennai","221.90","14.38","67.77","18.23","97.15","523204"
"ABB","Bengaluru","110682.92","11.89","244.59","12.24","356.19","500002"
"ABBOTINDIA","Mumbai","62639.12","0.65","8.48","0.52","10.71","500488"
"ABCAPITAL","Veraval","85462.17","669.32","4954.68","459.50","4950.13","540691"
"ABCIL","Palamau Dist","526.66","","","","","500057"
"ABCOTS","Bathinda","930.05","2.93","22.73","2.93","16.63","544522"
"ABDL","Mumbai","17884.67","36.19","503.22","46.00","647.31","544203"
"ABFRL","Mumbai","9546.91","869.07","10037.51","607.43","7078.32","535755"
"ABGHEAVY","Mumbai","78.37","5.41","","6.61","","520155"
"ABGSEC","","","1.40","3.22","0.53","2.45","544211"
"ABHAPOWER","Bilaspur","71.19","","20.66","","56.18",""
"ABHISHEK","Kolhapur","0.01","","","","","532831"
"ABINFRA","Mumbai","1230.95","16.26","202.04","18.12","124.54","544281"
"ABIRLANUVO","Veraval","24595.47","","","","","500303"
"ABLBL","Mumbai","16159.47","104.37","1603.28","140.45","1906.26","544403"
"ABMINTLLTD","New Delhi","47.98","","0.97","","1.42",""
"ABREL","Mumbai","20205.75","7.54","185.32","10.64","204.73","500040"
"ABSLAMC","Mumbai","22244.91","21.37","301.20","19.67","352.10","543374"
"ABSLBANETF","","","1.81","200.68","2.21","351.53","542863"
"ABSLLIQUID","","","1.96","4.58","2.43","7.26","543813"
"ABSLNN50ET","","","2.23","15.10","3.73","19.80","542230"
"ABSLPSE","","","20.03","256.01","35.50","355.76","544218"
"ABSMARINE","Chennai","522.67","","49.97","","55.00",""
"ACC","Ahmedabad","34459.90","14.84","235.31","18.71","344.31","500410"
"ACCELYA","Pune","2017.96","3.95","21.67","4.26","16.92","532268"
"ACCENTMIC","Ahmedabad","673.37","","21.85","","36.94",""
"ACCORD","Vadodara","6.89","","3.25","","4.47",""
"ACCPL","Ahmedabad","61.30","","13.14","","32.82",""
"ACCURACY","Kachahh","99.67","14.68","145.31","14.68","218.14","544598"
"ACE","Palwal","12763.34","46.71","532.54","29.07","350.12","532762"
"ACEINTEG","New Delhi","24.08","","15.89","","22.20",""
"ACI","Chennai","8000.58","12.53","209.99","19.25","352.78","543657"
"ACL","Guntur Dist","651.10","8.72","58.70","6.64","41.36","532141"
"ACLGATI","Mumbai","949.23","27.13","309.42","42.65","406.90","532345"
"ACMESOLAR","Gurugram","16279.89","122.62","1384.63","140.27","1644.43","544283"
"ACTIVEINFR","Nagpur","258.26","","47.71","","22.12",""
"ACUTAAS","Surat","14492.42","16.56","350.10","17.75","365.76","543349"
"ADANIENSOL","Ahmedabad","116314.19","177.48","1943.46","243.39","2799.49","539254"
"ADANIENT","Ahmedabad","267054.34","66.15","1199.95","123.55","1568.19","512599"
"ADANIGREEN","Ahmedabad","174641.85","416.95","3777.85","385.51","4135.18","541450"
"ADANIPORTS","Ahmedabad","310293.16","289.08","2297.66","207.55","3136.21","532921"
